,Object,x_perturb,y_perturb,successes,trials
77,CatLying_800_tex.urdf,0.0,-0.02,50.0,50.0
78,CatLying_800_tex.urdf,0.01,-0.02,50.0,50.0
79,CatLying_800_tex.urdf,0.02,-0.02,50.0,50.0
80,CatLying_800_tex.urdf,-0.02,-0.01,50.0,50.0
81,CatLying_800_tex.urdf,-0.01,-0.01,50.0,50.0
82,CatLying_800_tex.urdf,0.0,-0.01,50.0,50.0
83,CatLying_800_tex.urdf,0.01,-0.01,50.0,50.0
84,CatLying_800_tex.urdf,0.02,-0.01,50.0,50.0
85,CatLying_800_tex.urdf,-0.02,0.0,50.0,50.0
86,CatLying_800_tex.urdf,-0.01,0.0,50.0,50.0
87,CatLying_800_tex.urdf,0.0,0.0,50.0,50.0
88,CatLying_800_tex.urdf,0.01,0.0,50.0,50.0
89,CatLying_800_tex.urdf,0.02,0.0,50.0,50.0
90,CatLying_800_tex.urdf,-0.02,0.01,49.0,50.0
91,CatLying_800_tex.urdf,-0.01,0.01,50.0,50.0
92,CatLying_800_tex.urdf,0.0,0.01,49.0,50.0
93,CatLying_800_tex.urdf,0.01,0.01,50.0,50.0
94,CatLying_800_tex.urdf,0.02,0.01,50.0,50.0
95,CatLying_800_tex.urdf,-0.02,0.02,50.0,50.0
96,CatLying_800_tex.urdf,-0.01,0.02,50.0,50.0
97,CatLying_800_tex.urdf,0.0,0.02,50.0,50.0
98,CatLying_800_tex.urdf,0.01,0.02,50.0,50.0
99,CatLying_800_tex.urdf,0.02,0.02,49.0,50.0
100,CeylonTea_800_tex.urdf,-0.02,-0.02,37.0,50.0
101,CeylonTea_800_tex.urdf,-0.01,-0.02,41.0,50.0
102,CeylonTea_800_tex.urdf,0.0,-0.02,40.0,50.0
103,CeylonTea_800_tex.urdf,0.01,-0.02,35.0,50.0
104,CeylonTea_800_tex.urdf,0.02,-0.02,41.0,50.0
105,CeylonTea_800_tex.urdf,-0.02,-0.01,39.0,50.0
106,CeylonTea_800_tex.urdf,-0.01,-0.01,37.0,50.0
107,CeylonTea_800_tex.urdf,0.0,-0.01,36.0,50.0
108,CeylonTea_800_tex.urdf,0.01,-0.01,36.0,50.0
109,CeylonTea_800_tex.urdf,0.02,-0.01,34.0,50.0
110,CeylonTea_800_tex.urdf,-0.02,0.0,31.0,50.0
111,CeylonTea_800_tex.urdf,-0.01,0.0,38.0,50.0
112,CeylonTea_800_tex.urdf,0.0,0.0,34.0,50.0
